Dataset,Delta Accuracy,Delta Precision,Delta Recall,Delta F1,Delta ROC-AUC
Dataset 1,-0.002,0.0153,-0.0376,-0.0201,-0.0122
Dataset 2,0.0018,0.0101,-0.0062,0.0009,0.0005
